Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a spouse ?c   ?d child ?c   ?b name ?d,?a name ?b,585,0.003418803418803419,0.05714285714285714,2,3,35,?a
?a predecessor ?c   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.07654600301659126,1.0,203,3,203,?a
?a mother ?c   ?b predecessor ?c,?a child ?b,1508,0.000663129973474801,0.03225806451612903,1,2,31,?a
?a predecessor ?c   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.07164404223227752,1.0,190,3,190,?a
?c successor ?a   ?c successor ?b,?a parent ?b,946,0.004228329809725159,0.015810276679841896,4,2,253,?a
?c successor ?a   ?c parent ?b,?a mother ?b,408,0.00980392156862745,0.023121387283236993,4,2,173,?a
?c predecessor ?a   ?d child ?c   ?d child ?b,?a child ?b,1508,0.32360742705570295,0.7660910518053375,488,3,637,?a
?c successor ?a   ?d spouse ?c   ?b mother ?d,?a successor ?b,354,0.025423728813559324,0.09782608695652174,9,3,92,?a
?c parent ?a   ?d child ?c   ?b parent ?d,?a successor ?b,354,0.2344632768361582,0.41708542713567837,83,3,199,?a
?c spouse ?a   ?b name ?c,?a name ?b,585,0.0,0.0,0,2,42,?a
?a mother ?c   ?c spouse ?d   ?d successor ?b,?a child ?b,1508,0.001989389920424403,0.024,3,3,125,?a
?a child ?c   ?d mother ?c   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.04564315352697095,0.946236559139785,88,3,93,?a
?a name ?c   ?c name ?d   ?d spouse ?b,?a parent ?b,946,0.0,0.0,0,3,67,?a
?a father ?c   ?c successor ?b,?a parent ?b,946,0.003171247357293869,0.012552301255230125,3,2,239,?a
?c spouse ?a   ?c mother ?d   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.10425311203319503,0.9663461538461539,201,3,208,?a
?a successor ?c   ?c mother ?d   ?d spouse ?b,?a predecessor ?b,358,0.025139664804469275,0.10714285714285714,9,3,84,?a
?c parent ?a   ?c father ?d   ?d child ?b,?a child ?b,1508,0.48408488063660476,0.874251497005988,730,3,835,?a
?a child ?c   ?d successor ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.07993966817496229,1.0,212,3,212,?a
?c child ?a   ?c spouse ?b,?a spouse ?b,865,0.0011560693641618498,0.002652519893899204,1,2,377,?a
?c successor ?a   ?b predecessor ?c,?a mother ?b,408,0.0024509803921568627,0.006622516556291391,1,2,151,?a
?a child ?c   ?d father ?c   ?b name ?d,?a name ?b,585,0.0,0.0,0,3,24,?a
?c successor ?a   ?b name ?c,?a name ?b,585,0.0,0.0,0,2,6,?a
