Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a parent ?c   ?b name ?c,?a father ?b,561,0.023172905525846704,0.18055555555555555,13,2,72,?a
?a parent ?c   ?b predecessor ?c,?a father ?b,561,0.0106951871657754,0.02631578947368421,6,2,228,?a
?a parent ?c   ?b spouse ?c,?a father ?b,561,0.39037433155080214,0.39107142857142857,219,2,560,?a
?a gender ?c   ?b gender ?c,?a father ?b,561,0.3600713012477718,0.001038272150662541,202,2,194554,?a
?a name ?c   ?c father ?b,?a father ?b,561,0.1319073083778966,0.9736842105263158,74,2,76,?a
?a name ?c   ?c parent ?b,?a father ?b,561,0.0962566844919786,0.5192307692307693,54,2,104,?a
?a name ?c   ?b child ?c,?a father ?b,561,0.024955436720142603,0.2916666666666667,14,2,48,?a
?a mother ?c   ?c successor ?b,?a father ?b,561,0.0106951871657754,0.21428571428571427,6,2,28,?a
?a mother ?c   ?c spouse ?b,?a father ?b,561,0.43137254901960786,0.9063670411985019,242,2,267,?a
?a mother ?c   ?b spouse ?c,?a father ?b,561,0.40463458110516937,0.8901960784313725,227,2,255,?a
?a predecessor ?c   ?c predecessor ?b,?a father ?b,561,0.024955436720142603,0.0945945945945946,14,2,148,?a
?a predecessor ?c   ?b successor ?c,?a father ?b,561,0.0213903743315508,0.0784313725490196,12,2,153,?a
?a predecessor ?c   ?c spouse ?b,?a father ?b,561,0.017825311942959002,0.06896551724137931,10,2,145,?a
?a predecessor ?c   ?b child ?c,?a father ?b,561,0.017825311942959002,0.06944444444444445,10,2,144,?a
?a predecessor ?c   ?b spouse ?c,?a father ?b,561,0.0142602495543672,0.05128205128205128,8,2,156,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a father ?b,561,1.0,0.0003770739064856712,561,2,1487772,?a
?a hasSpouse ?c   ?b hasSpouse ?c,?a father ?b,561,0.42245989304812837,0.0007054495231518413,237,2,335956,?a
?a name ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.12039312039312039,0.875,49,2,56,?a
?a name ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.3882063882063882,0.3518930957683742,158,2,449,?a
"?a parent ?c   ?c gender ""male""","?a gender ""female""",407,0.3144963144963145,0.3987538940809969,128,2,321,?a
?a parent ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.4668304668304668,0.39748953974895396,190,2,478,?a
?a parent ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.3316953316953317,0.4166666666666667,135,2,324,?a
?a parent ?c   ?c hasSpouse No,"?a gender ""female""",407,0.06388206388206388,0.3132530120481928,26,2,83,?a
"?a spouse ?c   ?c gender ""male""","?a gender ""female""",407,0.5773955773955773,0.9957627118644068,235,2,236,?a
?a spouse ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.5798525798525799,0.5209713024282561,236,2,453,?a
