Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a predecessor ?c   ?c predecessor ?d   ?b father ?d,?a parent ?b,946,0.040169133192389,0.2753623188405797,38,3,138,?a
?a predecessor ?c   ?c predecessor ?d   ?b spouse ?d,?a parent ?b,946,0.013742071881606765,0.09090909090909091,13,3,143,?a
?a predecessor ?c   ?c spouse ?d   ?d spouse ?b,?a parent ?b,946,0.07399577167019028,0.49295774647887325,70,3,142,?a
?a predecessor ?c   ?c spouse ?d   ?b spouse ?d,?a parent ?b,946,0.08773784355179703,0.49700598802395207,83,3,167,?a
?a predecessor ?c   ?c child ?d   ?d parent ?b,?a parent ?b,946,0.15010570824524314,0.7675675675675676,142,3,185,?a
?a predecessor ?c   ?c child ?d   ?d predecessor ?b,?a parent ?b,946,0.08139534883720931,0.5460992907801419,77,3,141,?a
?a predecessor ?c   ?c child ?d   ?d father ?b,?a parent ?b,946,0.06765327695560254,0.6808510638297872,64,3,94,?a
?a parent ?c   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.733615221987315,0.0015670866639570066,694,3,442860,?a
?a predecessor ?c   ?c child ?d   ?d mother ?b,?a parent ?b,946,0.06342494714587738,0.6593406593406593,60,3,91,?a
?a predecessor ?c   ?c father ?d   ?d successor ?b,?a parent ?b,946,0.04439746300211417,0.4666666666666667,42,3,90,?a
?a predecessor ?c   ?c child ?d   ?b child ?d,?a parent ?b,946,0.12367864693446089,0.6190476190476191,117,3,189,?a
?a predecessor ?c   ?c child ?d   ?b successor ?d,?a parent ?b,946,0.06659619450317125,0.4883720930232558,63,3,129,?a
?a spouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.7156448202959831,0.0005855023731440353,677,3,1156272,?a
?a predecessor ?c   ?c father ?d   ?d child ?b,?a parent ?b,946,0.0412262156448203,0.13175675675675674,39,3,296,?a
?a predecessor ?c   ?c father ?d   ?b predecessor ?d,?a parent ?b,946,0.040169133192389,0.4318181818181818,38,3,88,?a
?a predecessor ?c   ?c father ?d   ?b parent ?d,?a parent ?b,946,0.06342494714587738,0.41379310344827586,60,3,145,?a
?a predecessor ?c   ?c father ?d   ?b father ?d,?a parent ?b,946,0.08456659619450317,0.425531914893617,80,3,188,?a
?a predecessor ?c   ?c mother ?d   ?d child ?b,?a parent ?b,946,0.021141649048625793,0.10101010101010101,20,3,198,?a
?a predecessor ?c   ?c mother ?d   ?b parent ?d,?a parent ?b,946,0.052854122621564484,0.3787878787878788,50,3,132,?a
?a predecessor ?c   ?c mother ?d   ?b mother ?d,?a parent ?b,946,0.06871035940803383,0.436241610738255,65,3,149,?a
?a successor ?c   ?c predecessor ?d   ?d father ?b,?a parent ?b,946,0.1014799154334038,0.64,96,3,150,?a
?a successor ?c   ?c predecessor ?d   ?d parent ?b,?a parent ?b,946,0.25792811839323465,0.7601246105919003,244,3,321,?a
?a successor ?c   ?c predecessor ?d   ?d mother ?b,?a parent ?b,946,0.08879492600422834,0.5874125874125874,84,3,143,?a
?a successor ?c   ?c predecessor ?d   ?d predecessor ?b,?a parent ?b,946,0.06871035940803383,0.3023255813953488,65,3,215,?a
?a successor ?c   ?c predecessor ?d   ?b child ?d,?a parent ?b,946,0.11416490486257928,0.5294117647058824,108,3,204,?a
?a successor ?c   ?c predecessor ?d   ?b successor ?d,?a parent ?b,946,0.06871035940803383,0.2914798206278027,65,3,223,?a
?a successor ?c   ?c parent ?d   ?d parent ?b,?a parent ?b,946,0.15750528541226216,0.5173611111111112,149,3,288,?a
?a successor ?c   ?c parent ?d   ?d father ?b,?a parent ?b,946,0.06659619450317125,0.4375,63,3,144,?a
?a successor ?c   ?c parent ?d   ?d mother ?b,?a parent ?b,946,0.05179704016913319,0.4117647058823529,49,3,119,?a
?a successor ?c   ?c parent ?d   ?d predecessor ?b,?a parent ?b,946,0.042283298097251586,0.3669724770642202,40,3,109,?a
?a successor ?c   ?c parent ?d   ?b successor ?d,?a parent ?b,946,0.049682875264270614,0.3821138211382114,47,3,123,?a
?a successor ?c   ?c parent ?d   ?b child ?d,?a parent ?b,946,0.06448202959830866,0.3860759493670886,61,3,158,?a
?a successor ?c   ?c father ?d   ?d father ?b,?a parent ?b,946,0.05919661733615222,0.6222222222222222,56,3,90,?a
?a successor ?c   ?c father ?d   ?d mother ?b,?a parent ?b,946,0.05179704016913319,0.6447368421052632,49,3,76,?a
?a successor ?c   ?c father ?d   ?d predecessor ?b,?a parent ?b,946,0.03805496828752643,0.3870967741935484,36,3,93,?a
?a successor ?c   ?c father ?d   ?b child ?d,?a parent ?b,946,0.06025369978858351,0.5757575757575758,57,3,99,?a
?a successor ?c   ?c father ?d   ?b successor ?d,?a parent ?b,946,0.039112050739957716,0.39361702127659576,37,3,94,?a
?a successor ?c   ?c spouse ?d   ?d parent ?b,?a parent ?b,946,0.011627906976744186,0.0728476821192053,11,3,151,?a
?a predecessor ?c   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.19027484143763213,0.0010548955946387863,180,3,170633,?a
?a successor ?c   ?c mother ?d   ?d parent ?b,?a parent ?b,946,0.010570824524312896,0.10869565217391304,10,3,92,?a
?a successor ?c   ?c father ?d   ?d parent ?b,?a parent ?b,946,0.14799154334038056,0.7567567567567568,140,3,185,?a
?a successor ?c   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.08562367864693446,0.0015058281125095276,81,3,53791,?a
?a mother ?c   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.2748414376321353,0.0019358201176382995,260,3,134310,?a
?a mother ?c   ?c spouse ?d   ?d spouse ?b,?a parent ?b,946,0.17230443974630022,0.5759717314487632,163,3,283,?a
?a mother ?c   ?c spouse ?d   ?b spouse ?d,?a parent ?b,946,0.23361522198731502,0.6332378223495702,221,3,349,?a
?a mother ?c   ?c parent ?d   ?d child ?b,?a parent ?b,946,0.080338266384778,0.13036020583190394,76,3,583,?a
?a successor ?c   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.13742071881606766,0.0007970374730233471,130,3,163104,?a
?a predecessor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.3372093023255814,0.0005896400792594564,319,3,541008,?a
?a mother ?c   ?c parent ?d   ?b parent ?d,?a parent ?b,946,0.1839323467230444,0.5686274509803921,174,3,306,?a
?a mother ?c   ?c parent ?d   ?b father ?d,?a parent ?b,946,0.12367864693446089,0.5441860465116279,117,3,215,?a
?a mother ?c   ?c parent ?d   ?b mother ?d,?a parent ?b,946,0.0919661733615222,0.5178571428571429,87,3,168,?a
?a mother ?c   ?c father ?d   ?d child ?b,?a parent ?b,946,0.0412262156448203,0.11572700296735905,39,3,337,?a
?a mother ?c   ?c father ?d   ?b father ?d,?a parent ?b,946,0.17124735729386892,0.5605536332179931,162,3,289,?a
?a mother ?c   ?c father ?d   ?b parent ?d,?a parent ?b,946,0.12367864693446089,0.5176991150442478,117,3,226,?a
?a mother ?c   ?c mother ?d   ?d child ?b,?a parent ?b,946,0.07505285412262157,0.15673289183222958,71,3,453,?a
?a mother ?c   ?c mother ?d   ?b mother ?d,?a parent ?b,946,0.13107822410147993,0.6231155778894473,124,3,199,?a
?a mother ?c   ?c mother ?d   ?b parent ?d,?a parent ?b,946,0.0919661733615222,0.5272727272727272,87,3,165,?a
?a mother ?c   ?c parent ?d   ?d successor ?b,?a parent ?b,946,0.010570824524312896,0.11494252873563218,10,3,87,?a
?a mother ?c   ?c name ?d   ?d name ?b,?a parent ?b,946,0.048625792811839326,0.7796610169491526,46,3,59,?a
?a mother ?c   ?c name ?d   ?d spouse ?b,?a parent ?b,946,0.045454545454545456,0.6935483870967742,43,3,62,?a
?a mother ?c   ?c name ?d   ?b name ?d,?a parent ?b,946,0.1416490486257928,0.783625730994152,134,3,171,?a
?a mother ?c   ?c name ?d   ?b spouse ?d,?a parent ?b,946,0.0412262156448203,0.6610169491525424,39,3,59,?a
?a mother ?c   ?c child ?d   ?d parent ?b,?a parent ?b,946,0.2653276955602537,0.9094202898550725,251,3,276,?a
?a mother ?c   ?c child ?d   ?d mother ?b,?a parent ?b,946,0.13002114164904863,0.7834394904458599,123,3,157,?a
?a mother ?c   ?c child ?d   ?d father ?b,?a parent ?b,946,0.1109936575052854,0.7720588235294118,105,3,136,?a
?a mother ?c   ?c child ?d   ?d predecessor ?b,?a parent ?b,946,0.06553911205073996,0.4492753623188406,62,3,138,?a
?a mother ?c   ?c successor ?d   ?d predecessor ?b,?a parent ?b,946,0.026427061310782242,0.5102040816326531,25,3,49,?a
?a mother ?c   ?c child ?d   ?b successor ?d,?a parent ?b,946,0.06871035940803383,0.4452054794520548,65,3,146,?a
?a mother ?c   ?c successor ?d   ?d parent ?b,?a parent ?b,946,0.022198731501057084,0.5121951219512195,21,3,41,?a
?a mother ?c   ?c successor ?d   ?b successor ?d,?a parent ?b,946,0.03382663847780127,0.5614035087719298,32,3,57,?a
?a mother ?c   ?c child ?d   ?b child ?d,?a parent ?b,946,0.23678646934460887,0.764505119453925,224,3,293,?a
?a mother ?c   ?c successor ?d   ?d mother ?b,?a parent ?b,946,0.010570824524312896,0.47619047619047616,10,3,21,?a
?a mother ?c   ?c successor ?d   ?b child ?d,?a parent ?b,946,0.017970401691331923,0.5,17,3,34,?a
?a mother ?c   ?c predecessor ?d   ?b predecessor ?d,?a parent ?b,946,0.021141649048625793,0.7142857142857143,20,3,28,?a
?a mother ?c   ?c predecessor ?d   ?d successor ?b,?a parent ?b,946,0.0200845665961945,0.6785714285714286,19,3,28,?a
?c child ?a   ?c parent ?d   ?d child ?b,?a parent ?b,946,0.20084566596194503,0.15663643858202803,190,3,1213,?a
?c child ?a   ?c parent ?d   ?d successor ?b,?a parent ?b,946,0.07610993657505286,0.3185840707964602,72,3,226,?a
?a mother ?c   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.42283298097251587,0.001780785326328911,400,3,224620,?a
?c child ?a   ?c parent ?d   ?b parent ?d,?a parent ?b,946,0.32558139534883723,0.5757009345794393,308,3,535,?a
?c child ?a   ?c parent ?d   ?b father ?d,?a parent ?b,946,0.19027484143763213,0.5056179775280899,180,3,356,?a
?c child ?a   ?c parent ?d   ?b mother ?d,?a parent ?b,946,0.17970401691331925,0.5414012738853503,170,3,314,?a
?c child ?a   ?c parent ?d   ?b predecessor ?d,?a parent ?b,946,0.07293868921775898,0.323943661971831,69,3,213,?a
?c child ?a   ?c name ?d   ?d spouse ?b,?a parent ?b,946,0.0412262156448203,0.6842105263157895,39,3,57,?a
?c child ?a   ?c name ?d   ?d name ?b,?a parent ?b,946,0.049682875264270614,0.7966101694915254,47,3,59,?a
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.3308668076109937,0.0005842778848020549,313,3,535704,?a
?c child ?a   ?c name ?d   ?b spouse ?d,?a parent ?b,946,0.039112050739957716,0.6491228070175439,37,3,57,?a
?c child ?a   ?c name ?d   ?b name ?d,?a parent ?b,946,0.26849894291754756,0.5582417582417583,254,3,455,?a
?c child ?a   ?c spouse ?d   ?d spouse ?b,?a parent ?b,946,0.18921775898520085,0.5927152317880795,179,3,302,?a
?c child ?a   ?c spouse ?d   ?d name ?b,?a parent ?b,946,0.0306553911205074,0.18125,29,3,160,?a
?c child ?a   ?c spouse ?d   ?d successor ?b,?a parent ?b,946,0.011627906976744186,0.088,11,3,125,?a
?c child ?a   ?c spouse ?d   ?b name ?d,?a parent ?b,946,0.0306553911205074,0.5686274509803921,29,3,51,?a
?c child ?a   ?c spouse ?d   ?b predecessor ?d,?a parent ?b,946,0.011627906976744186,0.09090909090909091,11,3,121,?a
?c child ?a   ?c spouse ?d   ?b spouse ?d,?a parent ?b,946,0.26004228329809725,0.6490765171503958,246,3,379,?a
?c child ?a   ?c child ?d   ?d father ?b,?a parent ?b,946,0.23255813953488372,0.7829181494661922,220,3,281,?a
?c child ?a   ?c child ?d   ?d parent ?b,?a parent ?b,946,0.547568710359408,0.886986301369863,518,3,584,?a
?c child ?a   ?c child ?d   ?d predecessor ?b,?a parent ?b,946,0.15750528541226216,0.44744744744744747,149,3,333,?a
?c child ?a   ?c child ?d   ?d mother ?b,?a parent ?b,946,0.21987315010570824,0.7455197132616488,208,3,279,?a
?c child ?a   ?c child ?d   ?b successor ?d,?a parent ?b,946,0.1543340380549683,0.4397590361445783,146,3,332,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.6701902748414377,0.0006129868120818347,634,3,1034280,?a
?c child ?a   ?c mother ?d   ?d child ?b,?a parent ?b,946,0.10993657505285412,0.1568627450980392,104,3,663,?a
?c child ?a   ?c mother ?d   ?b parent ?d,?a parent ?b,946,0.17970401691331925,0.5629139072847682,170,3,302,?a
?c child ?a   ?c mother ?d   ?b mother ?d,?a parent ?b,946,0.23361522198731502,0.6242937853107344,221,3,354,?a
?c child ?a   ?c father ?d   ?d successor ?b,?a parent ?b,946,0.0708245243128964,0.3435897435897436,67,3,195,?a
?c child ?a   ?c father ?d   ?d child ?b,?a parent ?b,946,0.12790697674418605,0.14648910411622276,121,3,826,?a
?c child ?a   ?c father ?d   ?b father ?d,?a parent ?b,946,0.26004228329809725,0.543046357615894,246,3,453,?a
?c child ?a   ?c father ?d   ?b parent ?d,?a parent ?b,946,0.19027484143763213,0.5187319884726225,180,3,347,?a
?c child ?a   ?c father ?d   ?b predecessor ?d,?a parent ?b,946,0.06659619450317125,0.3333333333333333,63,3,189,?a
?c child ?a   ?c successor ?d   ?d parent ?b,?a parent ?b,946,0.1839323467230444,0.7160493827160493,174,3,243,?a
?c child ?a   ?c child ?d   ?b child ?d,?a parent ?b,946,0.3964059196617336,0.7684426229508197,375,3,488,?a
?c child ?a   ?c successor ?d   ?d father ?b,?a parent ?b,946,0.07928118393234672,0.6198347107438017,75,3,121,?a
?c child ?a   ?c successor ?d   ?d predecessor ?b,?a parent ?b,946,0.1416490486257928,0.5851528384279476,134,3,229,?a
?c child ?a   ?c successor ?d   ?d mother ?b,?a parent ?b,946,0.06871035940803383,0.6074766355140186,65,3,107,?a
?c child ?a   ?c successor ?d   ?d spouse ?b,?a parent ?b,946,0.010570824524312896,0.05917159763313609,10,3,169,?a
?c child ?a   ?c successor ?d   ?b child ?d,?a parent ?b,946,0.17758985200845667,0.6746987951807228,168,3,249,?a
?c child ?a   ?c predecessor ?d   ?d successor ?b,?a parent ?b,946,0.11627906976744186,0.5882352941176471,110,3,187,?a
?c child ?a   ?c successor ?d   ?b successor ?d,?a parent ?b,946,0.17019027484143764,0.5962962962962963,161,3,270,?a
?c child ?a   ?c predecessor ?d   ?d child ?b,?a parent ?b,946,0.06236786469344609,0.13288288288288289,59,3,444,?a
?c child ?a   ?c predecessor ?d   ?b parent ?d,?a parent ?b,946,0.07293868921775898,0.43670886075949367,69,3,158,?a
?c child ?a   ?c predecessor ?d   ?b father ?d,?a parent ?b,946,0.06659619450317125,0.42,63,3,150,?a
?c child ?a   ?c predecessor ?d   ?b predecessor ?d,?a parent ?b,946,0.14693446088794926,0.634703196347032,139,3,219,?a
?a parent ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,1.0,0.0005753417992507176,946,3,1644240,?a
?c child ?a   ?c predecessor ?d   ?b spouse ?d,?a parent ?b,946,0.011627906976744186,0.07333333333333333,11,3,150,?a
?c spouse ?a   ?c spouse ?d   ?d parent ?b,?a parent ?b,946,0.7071881606765328,0.8756544502617801,669,3,764,?a
?c spouse ?a   ?c spouse ?d   ?d father ?b,?a parent ?b,946,0.3097251585623679,0.7288557213930348,293,3,402,?a
?c spouse ?a   ?c spouse ?d   ?d mother ?b,?a parent ?b,946,0.24101479915433405,0.7147335423197492,228,3,319,?a
?c spouse ?a   ?c spouse ?d   ?d predecessor ?b,?a parent ?b,946,0.08879492600422834,0.4158415841584158,84,3,202,?a
?c spouse ?a   ?c spouse ?d   ?b child ?d,?a parent ?b,946,0.2769556025369979,0.6717948717948717,262,3,390,?a
?c spouse ?a   ?c spouse ?d   ?b successor ?d,?a parent ?b,946,0.08668076109936575,0.3761467889908257,82,3,218,?a
?c spouse ?a   ?c successor ?d   ?d parent ?b,?a parent ?b,946,0.010570824524312896,0.06578947368421052,10,3,152,?a
?c child ?a   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.27167019027484146,0.0018199328678459644,257,3,141214,?a
?c mother ?a   ?c mother ?d   ?d parent ?b,?a parent ?b,946,0.2959830866807611,1.0,280,3,280,?a
?c mother ?a   ?c mother ?d   ?d father ?b,?a parent ?b,946,0.13107822410147993,0.8104575163398693,124,3,153,?a
?c mother ?a   ?c mother ?d   ?d mother ?b,?a parent ?b,946,0.10676532769556026,0.8145161290322581,101,3,124,?a
?c mother ?a   ?c mother ?d   ?b child ?d,?a parent ?b,946,0.10359408033826638,0.7716535433070866,98,3,127,?a
?c mother ?a   ?c mother ?d   ?b successor ?d,?a parent ?b,946,0.010570824524312896,0.5,10,3,20,?a
?c spouse ?a   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.25792811839323465,0.001544606853243358,244,3,157969,?a
?c mother ?a   ?c parent ?d   ?d parent ?b,?a parent ?b,946,0.2357293868921776,0.6059782608695652,223,3,368,?a
?c mother ?a   ?c parent ?d   ?d father ?b,?a parent ?b,946,0.10676532769556026,0.5126903553299492,101,3,197,?a
?c mother ?a   ?c parent ?d   ?d mother ?b,?a parent ?b,946,0.080338266384778,0.4840764331210191,76,3,157,?a
?c mother ?a   ?c parent ?d   ?b child ?d,?a parent ?b,946,0.08139534883720931,0.4117647058823529,77,3,187,?a
?c mother ?a   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.10465116279069768,0.0013856812933025404,99,3,71445,?a
?c mother ?a   ?c predecessor ?d   ?d parent ?b,?a parent ?b,946,0.011627906976744186,0.11702127659574468,11,3,94,?a
?c spouse ?a   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.3498942917547569,0.0012902370761902534,331,3,256542,?a
?c mother ?a   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.1511627906976744,0.0012624256228260678,143,3,113274,?a
?c successor ?a   ?c successor ?d   ?d parent ?b,?a parent ?b,946,0.321353065539112,0.856338028169014,304,3,355,?a
?c successor ?a   ?c successor ?d   ?d father ?b,?a parent ?b,946,0.12790697674418605,0.6994219653179191,121,3,173,?a
?c successor ?a   ?c successor ?d   ?d mother ?b,?a parent ?b,946,0.10993657505285412,0.6797385620915033,104,3,153,?a
?c successor ?a   ?c successor ?d   ?d predecessor ?b,?a parent ?b,946,0.1014799154334038,0.38866396761133604,96,3,247,?a
?c successor ?a   ?c successor ?d   ?b child ?d,?a parent ?b,946,0.1543340380549683,0.6728110599078341,146,3,217,?a
?c successor ?a   ?c successor ?d   ?b successor ?d,?a parent ?b,946,0.12156448202959831,0.4092526690391459,115,3,281,?a
?c successor ?a   ?c parent ?d   ?d child ?b,?a parent ?b,946,0.05813953488372093,0.13681592039800994,55,3,402,?a
?c successor ?a   ?c parent ?d   ?d successor ?b,?a parent ?b,946,0.04439746300211417,0.45161290322580644,42,3,93,?a
?c successor ?a   ?c parent ?d   ?b parent ?d,?a parent ?b,946,0.10253699788583509,0.44907407407407407,97,3,216,?a
?c successor ?a   ?c parent ?d   ?b father ?d,?a parent ?b,946,0.06553911205073996,0.4492753623188406,62,3,138,?a
?c successor ?a   ?c parent ?d   ?b mother ?d,?a parent ?b,946,0.052854122621564484,0.36764705882352944,50,3,136,?a
?c successor ?a   ?c parent ?d   ?b predecessor ?d,?a parent ?b,946,0.039112050739957716,0.40217391304347827,37,3,92,?a
?c successor ?a   ?c name ?d   ?b name ?d,?a parent ?b,946,0.09513742071881606,0.46632124352331605,90,3,193,?a
?c mother ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.2959830866807611,0.0005707064530593943,280,3,490620,?a
?c successor ?a   ?c spouse ?d   ?d spouse ?b,?a parent ?b,946,0.06976744186046512,0.45517241379310347,66,3,145,?a
?c successor ?a   ?c spouse ?d   ?d parent ?b,?a parent ?b,946,0.010570824524312896,0.06451612903225806,10,3,155,?a
?c successor ?a   ?c spouse ?d   ?b spouse ?d,?a parent ?b,946,0.08773784355179703,0.4715909090909091,83,3,176,?a
?c successor ?a   ?c predecessor ?d   ?d successor ?b,?a parent ?b,946,0.056025369978858354,0.33974358974358976,53,3,156,?a
?c successor ?a   ?c predecessor ?d   ?d child ?b,?a parent ?b,946,0.02854122621564482,0.0712401055408971,27,3,379,?a
?c successor ?a   ?c predecessor ?d   ?d parent ?b,?a parent ?b,946,0.014799154334038054,0.07368421052631578,14,3,190,?a
?c successor ?a   ?c predecessor ?d   ?d spouse ?b,?a parent ?b,946,0.011627906976744186,0.07857142857142857,11,3,140,?a
?c successor ?a   ?c predecessor ?d   ?b predecessor ?d,?a parent ?b,946,0.06976744186046512,0.34554973821989526,66,3,191,?a
?c successor ?a   ?c predecessor ?d   ?b parent ?d,?a parent ?b,946,0.03805496828752643,0.2706766917293233,36,3,133,?a
?c successor ?a   ?c hasSpouse ?d   ?b hasSpouse ?d,?a parent ?b,946,0.18076109936575052,0.001008337952425318,171,3,169586,?a
?c successor ?a   ?c predecessor ?d   ?b father ?d,?a parent ?b,946,0.03276955602536998,0.23308270676691728,31,3,133,?a
?c successor ?a   ?c predecessor ?d   ?b spouse ?d,?a parent ?b,946,0.016913319238900635,0.1032258064516129,16,3,155,?a
?c successor ?a   ?c mother ?d   ?d child ?b,?a parent ?b,946,0.021141649048625793,0.09852216748768473,20,3,203,?a
?c successor ?a   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.10570824524312897,0.001719513033908797,100,3,58156,?a
?c successor ?a   ?c mother ?d   ?b mother ?d,?a parent ?b,946,0.06553911205073996,0.42758620689655175,62,3,145,?a
?c successor ?a   ?c predecessor ?d   ?b child ?d,?a parent ?b,946,0.011627906976744186,0.07746478873239436,11,3,142,?a
?c successor ?a   ?c mother ?d   ?b parent ?d,?a parent ?b,946,0.05391120507399577,0.4146341463414634,51,3,123,?a
?c successor ?a   ?c father ?d   ?d successor ?b,?a parent ?b,946,0.0412262156448203,0.4588235294117647,39,3,85,?a
?c successor ?a   ?c father ?d   ?d child ?b,?a parent ?b,946,0.03699788583509514,0.12195121951219512,35,3,287,?a
?c successor ?a   ?c father ?d   ?b father ?d,?a parent ?b,946,0.08350951374207188,0.4388888888888889,79,3,180,?a
?c successor ?a   ?c father ?d   ?b parent ?d,?a parent ?b,946,0.06553911205073996,0.4626865671641791,62,3,134,?a
?c successor ?a   ?c father ?d   ?b predecessor ?d,?a parent ?b,946,0.03171247357293869,0.38461538461538464,30,3,78,?a
?c successor ?a   ?c child ?d   ?d parent ?b,?a parent ?b,946,0.1427061310782241,0.7584269662921348,135,3,178,?a
?c successor ?a   ?c child ?d   ?d father ?b,?a parent ?b,946,0.06025369978858351,0.6551724137931034,57,3,87,?a
?c successor ?a   ?c child ?d   ?d predecessor ?b,?a parent ?b,946,0.06659619450317125,0.4846153846153846,63,3,130,?a
?c successor ?a   ?c child ?d   ?d mother ?b,?a parent ?b,946,0.05919661733615222,0.6363636363636364,56,3,88,?a
?c successor ?a   ?c child ?d   ?b successor ?d,?a parent ?b,946,0.07610993657505286,0.48,72,3,150,?a
?c successor ?a   ?c child ?d   ?b child ?d,?a parent ?b,946,0.11627906976744186,0.5851063829787234,110,3,188,?a
?c parent ?a   ?c parent ?d   ?d predecessor ?b,?a parent ?b,946,0.08879492600422834,0.33070866141732286,84,3,254,?a
?c parent ?a   ?c parent ?d   ?d mother ?b,?a parent ?b,946,0.23890063424947147,0.5678391959798995,226,3,398,?a
?c parent ?a   ?c parent ?d   ?d father ?b,?a parent ?b,946,0.34355179704016914,0.6143667296786389,325,3,529,?a
?c parent ?a   ?c parent ?d   ?b successor ?d,?a parent ?b,946,0.09090909090909091,0.3208955223880597,86,3,268,?a
?c parent ?a   ?c parent ?d   ?b child ?d,?a parent ?b,946,0.24841437632135308,0.5097613882863341,235,3,461,?a
?c successor ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.321353065539112,0.0005878485516494567,304,3,517140,?a
?c parent ?a   ?c father ?d   ?d parent ?b,?a parent ?b,946,0.3773784355179704,0.7168674698795181,357,3,498,?a
?c parent ?a   ?c father ?d   ?d father ?b,?a parent ?b,946,0.17970401691331925,0.6181818181818182,170,3,275,?a
?c parent ?a   ?c father ?d   ?d mother ?b,?a parent ?b,946,0.11945031712473574,0.576530612244898,113,3,196,?a
?c parent ?a   ?c father ?d   ?d predecessor ?b,?a parent ?b,946,0.06342494714587738,0.30303030303030304,60,3,198,?a
?c parent ?a   ?c father ?d   ?b child ?d,?a parent ?b,946,0.11205073995771671,0.4711111111111111,106,3,225,?a
?c parent ?a   ?c father ?d   ?b successor ?d,?a parent ?b,946,0.06553911205073996,0.29245283018867924,62,3,212,?a
?c parent ?a   ?c predecessor ?d   ?d parent ?b,?a parent ?b,946,0.15750528541226216,0.5418181818181819,149,3,275,?a
?c parent ?a   ?c predecessor ?d   ?d father ?b,?a parent ?b,946,0.06342494714587738,0.4444444444444444,60,3,135,?a
?c parent ?a   ?c predecessor ?d   ?d mother ?b,?a parent ?b,946,0.05179704016913319,0.4117647058823529,49,3,119,?a
?c parent ?a   ?c predecessor ?d   ?d predecessor ?b,?a parent ?b,946,0.046511627906976744,0.23157894736842105,44,3,190,?a
?c parent ?a   ?c predecessor ?d   ?b child ?d,?a parent ?b,946,0.06659619450317125,0.32142857142857145,63,3,196,?a
?c parent ?a   ?c predecessor ?d   ?b successor ?d,?a parent ?b,946,0.04756871035940803,0.21634615384615385,45,3,208,?a
?c parent ?a   ?c mother ?d   ?d parent ?b,?a parent ?b,946,0.2357293868921776,0.6109589041095891,223,3,365,?a
?c parent ?a   ?c mother ?d   ?d father ?b,?a parent ?b,946,0.10676532769556026,0.4855769230769231,101,3,208,?a
?c parent ?a   ?c mother ?d   ?d mother ?b,?a parent ?b,946,0.080338266384778,0.46060606060606063,76,3,165,?a
?c parent ?a   ?c mother ?d   ?b child ?d,?a parent ?b,946,0.08139534883720931,0.4031413612565445,77,3,191,?a
?c marriedTo ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a parent ?b,946,0.016913319238900635,0.0005484711367064308,16,3,29172,?a
?c marriedTo ?a   ?c marriedTo ?d   ?d parent ?b,?a parent ?b,946,0.016913319238900635,1.0,16,3,16,?a
?c marriedTo ?a   ?c marriedTo ?d   ?d father ?b,?a parent ?b,946,0.010570824524312896,1.0,10,3,10,?a
?c parent ?a   ?c gender ?d   ?b gender ?d,?a parent ?b,946,0.2769556025369979,0.0014130311675844178,262,3,185417,?a
